user_id,trainable_params,global_eval_test_loss,global_eval_test_r2,global_eval_test_me,global_eval_test_sd,global_eval_test_rmse,global_eval_test_mae,seq_ft_val_mae_after_batch1,seq_ft_val_mae_after_batch2,seq_ft_val_mae_after_batch3,seq_ft_val_mae_after_batch4,seq_ft_val_best_mae,seq_ft_val_best_at,seq_ft_test_loss,seq_ft_test_r2,seq_ft_test_me,seq_ft_test_sd,seq_ft_test_rmse,seq_ft_test_mae,seq_ft_cl_train_loss_mean,seq_ft_cl_batch1_loss_mean,seq_ft_cl_batch2_loss_mean,seq_ft_cl_batch3_loss_mean,seq_ft_cl_batch4_loss_mean,seq_ft_b1_mae_after_batch1,seq_ft_b1_mae_after_batch2,seq_ft_b1_mae_after_batch3,seq_ft_b1_mae_after_batch4,seq_ft_b1_mae_first,seq_ft_b1_mae_last,seq_ft_forget,seq_ewc_val_mae_after_batch1,seq_ewc_val_mae_after_batch2,seq_ewc_val_mae_after_batch3,seq_ewc_val_mae_after_batch4,seq_ewc_val_best_mae,seq_ewc_val_best_at,seq_ewc_test_loss,seq_ewc_test_r2,seq_ewc_test_me,seq_ewc_test_sd,seq_ewc_test_rmse,seq_ewc_test_mae,seq_ewc_cl_train_loss_mean,seq_ewc_cl_batch1_loss_mean,seq_ewc_cl_batch2_loss_mean,seq_ewc_cl_batch3_loss_mean,seq_ewc_cl_batch4_loss_mean,seq_ewc_b1_mae_after_batch1,seq_ewc_b1_mae_after_batch2,seq_ewc_b1_mae_after_batch3,seq_ewc_b1_mae_after_batch4,seq_ewc_b1_mae_first,seq_ewc_b1_mae_last,seq_ewc_forget,gain
p000750_1,2051537,110.62579372536747,-9.170175427896783,0.4547016573663122,10.508046446802364,10.517879716243549,8.46801491820079,5.7188424983597566,7.375337853624904,7.193187203781093,8.112317099703823,5.7188424983597566,after_batch1,19.22266864979221,-0.7672000875858049,1.770430989336527,4.01101517845409,4.38436639091582,3.841618532218964,104.82874763473869,157.41853974819185,86.77277835607529,47.07779673576355,128.04587569892408,9.11977415953391,9.885819672634614,11.75848155517313,9.837341237152284,9.11977415953391,9.837341237152284,0.7175670776183747,5.7188424983597566,7.326577248766506,7.223436227218594,8.105436720980679,5.7188424983597566,after_batch1,19.22266864979221,-0.7672000875858049,1.770430989336527,4.01101517845409,4.38436639091582,3.841618532218964,105.51310495480895,157.41853974819185,87.51667996644974,48.41925845146179,128.69794165313243,9.11977415953391,9.867484009866022,11.755597930142612,9.838615918243594,9.11977415953391,9.838615918243594,0.7188417587096847,4.626396385981826
p005172_1,2051537,505.5429789713897,-36.53454592759127,-21.3426304804593,7.073549543613835,22.48428293211482,21.3426304804593,8.23276075417305,5.040882505931143,7.225513575980595,4.966852344572667,4.966852344572667,after_batch4,28.933968728509512,-1.1482315515832555,-3.810208414724434,3.796877738994584,5.3790304636160515,4.356466563695344,76.70720260322094,130.09412647247314,23.898335947990418,49.48981413125992,103.34653386116028,8.413111800493905,9.260318597515019,11.082016338146534,11.360260814021686,8.413111800493905,11.360260814021686,2.947149013527781,8.23276075417305,5.060833181895498,7.284359668204717,4.955126537382725,4.955126537382725,after_batch4,28.873596378767196,-1.1437491458760887,-3.8539036738186723,3.744465629658541,5.373415708724497,4.366694818142037,76.94871671497822,130.09412647247314,24.234691977500916,49.55080442667008,103.91524398326874,8.413111800493905,9.284818872173222,11.080747283733691,11.30180506069527,8.413111800493905,11.30180506069527,2.8886932602013644,16.975935662317262
p003071_1,2051537,195.09539035486515,-6.644404190348877,13.334340440594355,4.158215406781509,13.967655148766566,13.334340440594355,6.383768358048288,4.900557678586035,7.300607610737535,9.454496681878902,4.900557678586035,after_batch2,24.224841458019238,0.05080033303000342,1.628349840008416,4.644708629888833,4.921873775100215,3.9494930207972443,77.96534791320562,122.1633904838562,64.9783427453041,49.334356046915055,75.38530237674713,6.284943504866574,8.132685889843241,8.027677140700547,7.13724379569989,6.284943504866574,7.13724379569989,0.8523002908333162,6.383768358048288,4.8843900379,7.254532934223863,9.287510979364253,4.8843900379,after_batch2,23.276697063169348,0.0879513849941872,1.5102426164976737,4.58212443114366,4.824592942743393,3.887946167774493,78.50641836762428,122.1633904838562,65.84279801368713,49.812517018318175,76.20696795463562,6.284943504866574,8.05088304484202,7.988164506423203,7.109105495595031,6.284943504866574,7.109105495595031,0.8241619907284576,9.446394272819862
p000317_1,2051537,379.55955269273807,-5.4367019524353415,-17.953324147598615,7.565560438195607,19.482288179080456,17.966541381157594,21.89718423971154,19.569777490382688,11.8071269912183,9.71616620982722,9.71616620982722,after_batch4,133.9273276414207,-1.2711858658233508,-9.254827138321271,6.948057446597053,11.572697509285407,9.904894422076591,82.50158765435219,110.38109284877777,61.508076105117794,99.10316834449767,59.014013319015504,7.609909313838438,10.574487792199045,8.596475869283397,10.462749573023672,7.609909313838438,10.462749573023672,2.8528402591852338,21.89718423971154,19.818172456508176,11.90694617456791,9.574338817249096,9.574338817249096,after_batch4,125.89335823026401,-1.1349430385048662,-8.845848103897444,6.902487200497949,11.220220952827265,9.572525710614762,83.27445599377155,110.38109284877777,62.43306863307953,99.36015609741212,60.9235063958168,7.609909313838438,10.523484240715892,8.518962746724803,10.298172276186198,7.609909313838438,10.298172276186198,2.6882629623477605,8.394015670542831
p000053_1,2051537,74.7818478672327,0.279594365792877,0.27768992086963706,8.643190161918232,8.64764984647463,7.393719239303557,8.506195937175274,8.776287066555822,9.963609177412541,9.588033163783669,8.506195937175274,after_batch1,64.54777097897278,0.37818362055829524,0.5219320168169027,8.017191400284405,8.034162742873258,7.006001513959785,154.74911794304847,273.76214290618896,209.11709391593934,49.10098271846771,87.0162522315979,10.119161153343317,11.002520947805841,11.453734328073123,18.11033080046926,10.119161153343317,18.11033080046926,7.991169647125943,8.506195937175274,8.715688729653996,9.900799402168138,9.592148194273454,8.506195937175274,after_batch1,64.54777097897278,0.37818362055829524,0.5219320168169027,8.017191400284405,8.034162742873258,7.006001513959785,155.8254274594784,273.76214290618896,211.04181562423707,50.44813144683838,88.0496198606491,10.119161153343317,10.907057040757087,11.285640742105105,18.05166504805837,10.119161153343317,18.05166504805837,7.932503894715055,0.387717725343772
p001625_1,2051537,357.23133064251095,-11.505178098537726,11.946122153411046,14.646552363552754,18.900564294287907,14.788006403700383,10.118329091700165,14.623690457972135,25.678795285852992,13.149309774073208,10.118329091700165,after_batch1,204.45883004728802,-6.1572503983941775,13.24494303048624,5.387978671678458,14.29891009997923,13.24494303048624,68.22657571852207,60.20306038856506,93.81196142196656,24.03708674311638,94.85419432044029,4.329321815403677,6.027339105585405,13.564206014574996,5.500264729960743,4.329321815403677,5.500264729960743,1.1709429145570658,10.118331952723114,14.837643857630336,25.551833005579557,13.09485725942477,10.118331952723114,after_batch1,204.45873316545558,-6.157247006965528,13.244940169463291,5.387976714202955,14.298906712243967,13.244940169463291,68.79226348295808,60.20306038856506,94.71625852108002,24.38110265135765,95.86863237082959,4.329321815403677,6.072825694078577,13.453895841540326,5.492188081773821,4.329321815403677,5.492188081773821,1.162866266370144,1.5430662342370915
p005069_1,2051537,174.10790917943567,0.010021211496734073,2.0286025312876887,13.03812413460958,13.194995611194255,11.317074031700168,5.589897243010331,4.28250641322934,6.511573795478034,4.146884861676122,4.146884861676122,after_batch4,169.30535837409667,0.03732854894281745,2.7244559553599546,12.723313173910336,13.011739252463395,11.071497090954031,26.214392176866532,26.576499044895172,23.448002247810365,16.00847003877163,38.82459737598896,4.028262051833785,7.120260363459176,4.014185682045264,6.165758150188488,4.028262051833785,6.165758150188488,2.1374960983547027,5.5899336733692175,4.27188972926938,6.342247203986334,4.196750584332372,4.196750584332372,after_batch4,168.65602565503326,0.04102065932185506,2.7400357511973565,12.694417266546488,12.98676347882848,11.032530149120536,26.420741791129114,26.576499044895172,23.574472972154616,16.654497315883635,38.87749783158302,4.028262051833785,7.08213035680578,4.090749248387768,6.127930086223644,4.028262051833785,6.127930086223644,2.0996680343898593,0.2845438825796318
p004135_1,2051537,71.75386609748793,0.10216333692716995,-3.0689828164349224,7.895265072808836,8.470765378493724,7.090756927234635,15.83222169480685,10.133762563112658,14.299006848730153,14.335356145299977,10.133762563112658,after_batch2,112.38216174857386,-0.4062075060340633,8.410529588960586,6.453305647634581,10.601045313957199,8.763032146532979,58.74520345747471,52.329844045639035,41.925816736221314,67.44586053609848,73.27929251194,5.211077951089287,6.458662201191683,5.561221797931809,5.715156561804224,5.211077951089287,5.715156561804224,0.5040786107149371,15.83230771623019,10.186458218935412,14.334470754064625,14.382493596471852,10.186458218935412,after_batch2,112.47047156249752,-0.40731250278144504,8.398895525239883,6.4752625829848025,10.605209642552925,8.753670116503681,58.880820745825766,52.329844045639035,42.25981221199036,67.61644495725632,73.31718176841736,5.211077951089287,6.406956173207064,5.548372460363412,5.700170237493921,5.211077951089287,5.700170237493921,0.48909228640463454,-1.6629131892690463
p003684_1,2051537,132.06007481590717,-20.979776325988592,-10.359873499869991,4.9732379676221665,11.491739416463775,10.359873499869991,4.228018773888114,3.1904924104897967,2.623108458164759,5.983574764008099,2.623108458164759,after_batch3,43.74984121817072,-6.2816233491719835,-5.68284827709167,3.3845349278338013,6.6143662748725,5.713026227416671,43.18934172064066,51.81100312709808,39.546813342571255,28.282408665418625,53.11714174747467,4.88536674240329,10.229793614765448,7.821529716608839,20.218033555119977,4.88536674240329,20.218033555119977,15.332666812716687,4.228018773888114,3.225777787992238,2.582109427097864,5.962404147858197,2.582109427097864,after_batch3,43.71510007835163,-6.275841113446329,-5.670838084220577,3.3995140095174095,6.611739565224242,5.701104916991866,43.56308941304684,51.81100312709808,40.025304169654845,28.31566875219345,54.10038160324097,4.88536674240329,10.102732724567694,7.747621864435987,19.866791203587994,4.88536674240329,19.866791203587994,14.981424461184703,4.658768582878125
p000205_1,2051537,1592.311219240646,-2.918634657185059,37.724955673016254,13.00534269866062,39.90377449866925,38.80232641460627,34.69501271901449,29.53689714131674,10.380319935381912,4.089842036533663,4.089842036533663,after_batch4,292.1523818581251,0.2810209242422017,0.2559804151427141,17.090548729785958,17.092465645954217,11.075190070242334,194.60843403577803,88.83978741645814,375.83893904685976,88.01518961906433,225.73982006072998,5.808935964912598,8.867394812827266,15.350317878312339,25.583561064237927,5.808935964912598,25.583561064237927,19.774625099325327,34.69501271901449,29.504394203999844,10.482040963296686,4.314088545071682,4.314088545071682,after_batch4,291.5276429160025,0.28255838980842574,0.5669940183531633,17.064763716475955,17.074180592813306,11.17904031941217,196.24906752109527,88.83978741645814,377.7961272716522,91.06113298416138,227.29922241210937,5.808935964912598,8.667677236981955,15.168222636765709,26.002373243803355,5.808935964912598,26.002373243803355,20.193437278890755,27.6232860951941
